final_model,status,risk,probability,agreement,reason,lstm_prob,rf_prob,agreement_score
Both Models,Normal,Low,0.060353897511959076,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.045838020741939545,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.055432189255952835,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.07393616437911987,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
LSTM,Suspicious,Medium,0.1352054625749588,High,Decision based on LSTM with threshold logic,0.1352054625749588,0.012663117894446017,0.8774576553194873
LSTM,Suspicious,Medium,0.11426462978124619,High,Decision based on LSTM with threshold logic,0.11426462978124619,0.001464228242384003,0.8871995984611378
LSTM,Suspicious,Medium,0.11123310029506683,High,Decision based on LSTM with threshold logic,0.11123310029506683,0.04056483429702093,0.9293317340019541
LSTM,Suspicious,Medium,0.09731510281562805,High,Decision based on LSTM with threshold logic,0.09731510281562805,0.0017112676149813929,0.9043961647993534
Both Models,Normal,Low,0.04735362529754639,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.028081947937607765,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.024891044944524765,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.018435996025800705,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02032544091542838,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03819850388257574,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0227702297270298,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.021584082394838333,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02678673528134823,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0332331582903862,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.0410412959754467,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.034325990825891495,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.13462447655176024,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.019749058410525322,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02733561396598816,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.05068064481019974,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
LSTM,Suspicious,Medium,0.07552876323461533,High,Decision based on LSTM with threshold logic,0.07552876323461533,0.0024227620706537495,0.9268939988360384
LSTM,Suspicious,Medium,0.11296096444129944,High,Decision based on LSTM with threshold logic,0.11296096444129944,0.001178670801629897,0.8882177063603305
LSTM,Suspicious,Medium,0.11776376515626907,High,Decision based on LSTM with threshold logic,0.11776376515626907,0.0009310660421133643,0.8831673008858443
Both Models,Normal,Low,0.07207149267196655,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.04560919106006622,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.03746654465794563,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.039779242128133774,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.05086628720164299,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.04612630978226662,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Random Forest,Anomaly,High,0.5535274831272562,Low,Decision based on Random Forest with threshold logic,0.04168069735169411,0.5535274831272562,0.4881532142244379
Both Models,Normal,Low,0.04366394504904747,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02725990116596222,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.02186882682144642,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020685946568846703,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.020928001031279564,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
Both Models,Normal,Low,0.029576685279607773,Full Agreement (Normal),Both LSTM and Random Forest detect normal consumption,,,
